item_sku,rec_sku,similarity_score
111TMUSMA,206FSUMA,81.46
111TMUSMA,XLE605,75.24
111TMUSMA,208AFX,73.9
111TMUSMA,206SFSUM,73.4
111TMUSMA,208EFTABMY,72.95
111TMUSMA,210FRHMA,72.1
111TMUSMA,OXIM710B,71.85
111TMUSMA,210EFTAMY,71.48
111TMUSMA,213AFLEY,68.86
111TMUSMA,XOM605,68.41
PWCS7ACF,29ACF,70.98
PWCS7ACF,PWCS9ACF,70.25
PWCS7ACF,SGASA204CR,67.92
PWCS7ACF,SPBS704AR,64.6
PWCS7ACF,RTD48,63.78
PWCS7ACF,HBBD32,62.48
PWCS7ACF,HBBD24,61.78
PWCS7ACF,HBBD16,61.71
PWCS7ACF,HL138ACP,60.74
PWCS7ACF,SGDX40BR,60.58
SSFP2,SSF1,98.49
SSFP2,SSFP1,97.35
SSFP2,908CF,75.1
SSFP2,912AEP,69.25
SSFP2,BTWSMPK,68.53
SSFP2,SGDMRC4A,67.51
SSFP2,SGDMRCE44,66.41
SSFP2,TMS4E,64.95
SSFP2,86EP,64.51
SSFP2,SGCP1BR,63.56
KCP1422PBO,KWSP2455AST,60.1
KCP1422PBO,KWSN2455ABL,57.06
KCP1422PBO,KWSN2455AST,54.46
KCP1422PBO,KCP2422PBO,49.04
KCP1422PBO,ECFLD030,48.81
KCP1422PBO,KWSP2455ABL,45.52
KCP1422PBO,ATECH3FR300B,44.95
KCP1422PBO,SLX80A,44.03
KCP1422PBO,BLPTHC87,43.61
KCP1422PBO,325SIMM,43.6
CT861K2,CTLMAG-BOOT,78.03
CT861K2,CTR861AK2,68.17
CT861K2,CTR867AK2,65.52
CT861K2,CTS861K2,60.66
CT861K2,214SIMFMYA,59.46
CT861K2,204IMXA,57.86
CT861K2,312SIMM,57.46
CT861K2,207IPFM,57.3
CT861K2,212IMFMSYA,57
CT861K2,CTLED861,56.98
FKF80A,FC72,69.79
FKF80A,TKF72,69.68
FKF80A,FCF72,67.57
FKF80A,TK72,65.35
FKF80A,FK80,63.9
FKF80A,CSSD1R,61.07
FKF80A,TLLF72,60.36
FKF80A,XFR704,59.81
FKF80A,305SXWP,59.67
FKF80A,HCP48BCF,59.43
HBFE24,HBFE16,78.58
HBFE24,HBBD16,77.88
HBFE24,208EPIT,77.08
HBFE24,SPBS12AR,73.79
HBFE24,SGASA204CR,73.46
HBFE24,HBBD24,71.1
HBFE24,HBFE48,71.04
HBFE24,HBPT16,70.52
HBFE24,GA295,68.1
HBFE24,HBFE32,67.4
OEXM6B,OEXM7B,90.67
OEXM6B,OEXM9B,84.03
OEXM6B,OEXM8B,83.19
OEXM6B,OEXM90B,79.38
OEXM6B,OEXM80B,76.6
OEXM6B,1650,76.21
OEXM6B,PK53A,75.3
OEXM6B,AC58E,74.43
OEXM6B,BTC7B,73.52
OEXM6B,AWM140DK,73.47
JT13B,DB129C,80.55
JT13B,BP32B,80.46
JT13B,TPM16,78.96
JT13B,BP16B,76.76
JT13B,AC5C,76.09
JT13B,CSA12CR,74.62
JT13B,YA1050B,73.94
JT13B,1650,73.13
JT13B,BP24B,72.84
JT13B,GA295,72.39
1250,650,74.66
1250,2050,72.69
1250,FBST338,72.59
1250,1650,71.68
1250,SR40K,70.09
1250,BTC7B,67.98
1250,AWMG9,67.24
1250,CSA12CR,66.04
1250,SPBS12AR,65.16
1250,GAJ12A,64.82
TPM16,GAJ12A,79.87
TPM16,AC5C,79.3
TPM16,JT13B,78.96
TPM16,RULER601,77.66
TPM16,BP16B,77.05
TPM16,GA460B,76.82
TPM16,TPMB25,76.37
TPM16,PK53A,74.73
TPM16,CSA12CR,74.71
TPM16,UTK100,74.54
GSAF1F,GFAT1E,88.45
GSAF1F,A2A,85.18
GSAF1F,PPC710BK,77.74
GSAF1F,TA3,77.1
GSAF1F,FXK11,74.89
GSAF1F,S8,74.07
GSAF1F,FU8A,73.79
GSAF1F,S9706KRA,72.61
GSAF1F,212EFTXY,72.29
GSAF1F,SGT4BR,72.25
PBN500,LP404,73.5
PBN500,1206GS,67.74
PBN500,124STTMM,65.79
PBN500,SPBS704AR,65.45
PBN500,213AFLEY,64.82
PBN500,106BTMX,64.54
PBN500,103UFTS,64.23
PBN500,PL400B,64.08
PBN500,SGASA204CR,63.38
PBN500,305ASX,62.52
F4LB,TMS4E,83.63
F4LB,TA3,74.05
F4LB,GA295,70.17
F4LB,S6106KA,69.88
F4LB,A2A,69.01
F4LB,F10LD,66.67
F4LB,HBPT16,66.42
F4LB,GFAT1E,65.55
F4LB,DS809K,65.09
F4LB,211FY,64.23
211SFSY,211FSY,91.89
211SFSY,110STMY,80.79
211SFSY,212FSMY,80.57
211SFSY,212SFSMY,79.77
211SFSY,PPC710BK,77.09
211SFSY,114ATMP,76.98
211SFSY,112TMMY,76.72
211SFSY,FXK11,75.56
211SFSY,110TMY,73.73
211SFSY,CSA8CR,73.65
209TFSMYA,312IPLM,61.06
209TFSMYA,ASTFUN19KIT,59.84
209TFSMYA,207IPSFM,58.17
209TFSMYA,YA9350B,57.8
209TFSMYA,ACT900,56.75
209TFSMYA,IPLM22C,56.73
209TFSMYA,LSR1500,55.8
209TFSMYA,SVTA9100,55.21
209TFSMYA,207IMFLE,53.99
209TFSMYA,106IPTMMA,53.86
TMS4E,F4LB,83.63
TMS4E,TMR4,71.16
TMS4E,ST50A,68.9
TMS4E,DS809K,68.63
TMS4E,S6106KA,67.78
TMS4E,PWC52A,66.48
TMS4E,106TMUSA,65.61
TMS4E,SSF1,65.04
TMS4E,SSFP2,64.95
TMS4E,OXI707BK,64.45
307IPLY,312IPL,82.24
307IPLY,205IPF,81.63
307IPLY,311IMFSY,78.36
307IPLY,320SIM,77.97
307IPLY,307IPLMY,73.63
307IPLY,PBMP703A,73.5
307IPLY,SX20,70.88
307IPLY,212SIMFYA,68.49
307IPLY,PBS704,67.97
307IPLY,307ESAMY,67.9
CTR861AK2,CT861K2,68.17
CTR861AK2,CT9010K2,60.89
CTR861AK2,CTS861K2,60.81
CTR861AK2,CTLED861,57.41
CTR861AK2,CTLMAG-BOOT,56.53
CTR861AK2,CT825DB,56.39
CTR861AK2,CTLU861,55.88
CTR861AK2,CT9050K2,55.84
CTR861AK2,214SIMFMYA,54.31
CTR861AK2,SOXRRM710A,52.9
B3404B,B1356E,93.63
B3404B,BT11,90.5
B3404B,131A,89
B3404B,S6118A,87.49
B3404B,ACT83A,83.58
B3404B,ITHE100,79.94
B3404B,2004BSKA,71.88
B3404B,AC58E,71.85
B3404B,FB361A,71.77
B3404B,JCK8,70.91
SPBS704AR,HBBD32,85.28
SPBS704AR,HBBD24,83.68
SPBS704AR,HBFE103,81.58
SPBS704AR,PL400B,81.5
SPBS704AR,SGASA204CR,80.28
SPBS704AR,SGASA104BR,75.64
SPBS704AR,LP404,75.14
SPBS704AR,HBBD16,74.12
SPBS704AR,PBS704,73.97
SPBS704AR,HBFE48,73.47
TA3,GFAT1E,90.1
TA3,A2A,89.21
TA3,HBPT16,80.17
TA3,FU8A,79.04
TA3,TMU8B,77.54
TA3,GSAF1F,77.1
TA3,F4LB,74.05
TA3,FX1,73.65
TA3,TMXK4,72.83
TA3,GA295,72.49
ATECH3FR250B,212EFTXY,56.07
ATECH3FR250B,211EFAMY,53.47
ATECH3FR250B,TECH2FR100,53.23
ATECH3FR250B,PPC710BK,52.53
ATECH3FR250B,1206GS,52.18
ATECH3FR250B,SOEXM710,52.11
ATECH3FR250B,315IMMYA,52.07
ATECH3FR250B,213AFLEY,52.07
ATECH3FR250B,SVTS272A,51.57
ATECH3FR250B,RXFMS606B,50.77
PT28E,AWMG9,87.74
PT28E,HSG319,87.41
PT28E,RULER601,86.85
PT28E,AWS13,84.87
PT28E,PPB816A,83.58
PT28E,GAJ12A,83.12
PT28E,8R,80.73
PT28E,BTC7B,80.59
PT28E,GA296B,80.23
PT28E,PK53A,78.94
TMD6,TMD16,91.51
TMD6,TMD9,90.06
TMD6,TMD7,88.55
TMD6,TMD11,87.34
TMD6,TMD18,84.78
TMD6,F281,84.17
TMD6,TMD10,82.8
TMD6,SF261,82.73
TMD6,STMD14,82.73
TMD6,F201,82.68
BLPTHC87,SPBS704AR,71.11
BLPTHC87,PL400B,68.24
BLPTHC87,206AFXW,67.64
BLPTHC87,SOXRRM710A,66.72
BLPTHC87,HBBD24,66.14
BLPTHC87,HBFE32,65.34
BLPTHC87,SGRHT6BR,64.81
BLPTHC87,PPC710BK,64.57
BLPTHC87,304IMX,64.32
BLPTHC87,305ASX,63.68
SGRHT2BR,SGRHT6BR,73.24
SGRHT2BR,BDGPL300HG,71.17
SGRHT2BR,SPBS36AO,66.67
SGRHT2BR,SX24,65.9
SGRHT2BR,YA105013,65.13
SGRHT2BR,BP40B,63.87
SGRHT2BR,SGA102BR,62.59
SGRHT2BR,SGDXL80BR,62.42
SGRHT2BR,IP80D,61.87
SGRHT2BR,HCP10,61.87
206AFXW,106ATMXW,93.39
206AFXW,103UFTS,82.98
206AFXW,305SXWP,82.46
206AFXW,124STTMM,79.86
206AFXW,1206GS,79.56
206AFXW,305ASX,75.92
206AFXW,206AFX,72.01
206AFXW,208AFX,71.64
206AFXW,106BTMX,71.29
206AFXW,210FRHMA,71.02
S9706KRA,S9704KR,89.52
S9706KRA,212EFTXY,82.36
S9706KRA,S9704KA,82.07
S9706KRA,207EFAMY,81.38
S9706KRA,112TMMY,80.41
S9706KRA,112STMMY,77.85
S9706KRA,PPC710BK,77.63
S9706KRA,SGA173BR,75.17
S9706KRA,CSA8CR,74.67
S9706KRA,SGT4BR,74.09
HD6529,FRX181,94.31
HD6529,GF22,94.23
HD6529,FLE140A,94.03
HD6529,KAC1224TCA,94.01
HD6529,FAML6E,93.58
HD6529,YA2850A,92.45
HD6529,SA16E,91.91
HD6529,TMUS141A,91.31
HD6529,F161,91.08
HD6529,FABLM5E,91.06
SGA173BR,LP10WR,86.72
SGA173BR,CSA8CR,85.5
SGA173BR,PPC710BK,84.44
SGA173BR,SGT4BR,84.15
SGA173BR,FADH12C,81.14
SGA173BR,206EAU,80.9
SGA173BR,97ACF,80.43
SGA173BR,PRH57A,79.89
SGA173BR,S9704KA,79.07
SGA173BR,PK23A,78.61
SFSM16,SFSM18,90.45
SFSM16,SFSM12,90.27
SFSM16,SFSM15,89.44
SFSM16,SFSM17,88.04
SFSM16,SFSM19,87.72
SFSM16,SFSM14,86.64
SFSM16,SFSM8,85.14
SFSM16,SFSM11,81.79
SFSM16,SFSM10,81.67
SFSM16,SFSM13,80.86
CT9010K2,CT9050K2,71.29
CT9010K2,CTR861AK2,60.89
CT9010K2,CT9080K2,54.63
CT9010K2,CTG861K1,53.9
CT9010K2,214SIMFMYA,53.02
CT9010K2,CTL8850,52.13
CT9010K2,CTR867AK2,51.77
CT9010K2,CTS861K2,50.46
CT9010K2,315SIMMYA,49.83
CT9010K2,315IMMYA,49.43
110TMDY,110STMDY,96.14
110TMDY,211FY,93.2
110TMDY,211SFY,91.24
110TMDY,61CF,84.27
110TMDY,OEX8B,78.6
110TMDY,OEX11B,77.18
110TMDY,T72,75.26
110TMDY,OXI707BK,75.15
110TMDY,106TMUSA,74.16
110TMDY,VS807B,73.06
UTK100,AC58E,89.74
UTK100,GAJ12A,84.76
UTK100,AWMG9,78.05
UTK100,PK53A,77.34
UTK100,BTC7B,76.19
UTK100,AC5C,76.1
UTK100,BTC3A,75.95
UTK100,TPM16,74.54
UTK100,PT28E,74.33
UTK100,PKRS1,72.15
TPMB25,TPM16,76.37
TPMB25,EECT200,73.07
TPMB25,GAJ12A,72.51
TPMB25,JT13B,71.85
TPMB25,SGHBF500A,70.28
TPMB25,HBBD16,69.92
TPMB25,HBPT16,69.78
TPMB25,GA295,69.03
TPMB25,PPC4A,68.58
TPMB25,HBBD8,68.55
10MA,YA337A,88.41
10MA,8R,83.82
10MA,RULER601,82.94
10MA,HSG319,82.9
10MA,PPC4A,82.53
10MA,PPB1002A,81.35
10MA,PPC816B,79.25
10MA,BP12B,78.79
10MA,SGHF616BR,78.74
10MA,PT28E,76.56
FHLF80A,THLF72,88.48
FHLF80A,SHLF80A,74.56
FHLF80A,SHX80B,65.83
FHLF80A,SHL80A,64.59
FHLF80A,206AFXW,62.08
FHLF80A,SH80A,61.75
FHLF80A,FHLLF80,61.71
FHLF80A,SGASA204CR,61.36
FHLF80A,SGDX80BR,61.31
FHLF80A,HBBD24,58.37
SGD6BR,SGDP31IRBR,97.05
SGD6BR,SGD4BR,96.9
SGD6BR,SGDP42IRBR,95.49
SGD6BR,SGD2BR,87.88
SGD6BR,SGD8BR,85.44
SGD6BR,SGDP63IRBG,78.72
SGD6BR,110ETMAY,74.44
SGD6BR,PT10C,68.29
SGD6BR,SGD4120BR,67.43
SGD6BR,SGDP64IRBR,67.36
CTLUV761,CTSG861DB,60.5
CTLUV761,SGTT4B,52.45
CTLUV761,CTDFL861,49.03
CTLUV761,SHP7,48.12
CTLUV761,CTLAR761,47.17
CTLUV761,CTCO861K2,47.05
CTLUV761,ACTUVLITE4,46.79
CTLUV761,RCR1,45.84
CTLUV761,CTLMAG-BOOT,45.28
CTLUV761,CTRS761AK2,43.85
OFW4KT,OFWHD3KT,84.27
OFW4KT,YA4274A,77.74
OFW4KT,HBFE32,63.44
OFW4KT,OFC14KT,59.77
OFW4KT,BLPTHC87,58.88
OFW4KT,TR108,57.55
OFW4KT,BTG9,57.12
OFW4KT,YA4275,56.88
OFW4KT,PWCS7ACF,55.98
OFW4KT,SRPCR107,55.63
GFAT1E,TA3,90.1
GFAT1E,A2A,89.74
GFAT1E,GSAF1F,88.45
GFAT1E,FU8A,79.04
GFAT1E,FX1,77.59
GFAT1E,FXK3,74.31
GFAT1E,FXK6,73.42
GFAT1E,HBPT16,73.02
GFAT1E,TMU8B,72.96
GFAT1E,TMXK2,72.54
96ACF,46ACF,90.44
96ACF,86ACF,87.79
96ACF,95ACF,82.74
96ACF,AWP120,79.17
96ACF,196ACF,77.04
96ACF,91ACP,76.94
96ACF,47ACF,76.79
96ACF,388ACF,73.37
96ACF,61CF,69.83
96ACF,GFAT1E,69.26
ECFB200BL,JT13B,53.41
ECFB200BL,BP8B,47.12
ECFB200BL,GA294,46.7
ECFB200BL,ECF35,46.1
ECFB200BL,YA4050B,46.03
ECFB200BL,AW1015DHK,45.16
ECFB200BL,PPCD70BK,44.23
ECFB200BL,FU8A,44.17
ECFB200BL,BP24B,43.68
ECFB200BL,BP32B,43.05
THL72,SH80A,80.59
THL72,THLL72,77.84
THL72,FHL80,74.36
THL72,SHL80A,68.57
THL72,THR72,66.15
THL72,THRLX72,63.13
THL72,THLF72,60.97
THL72,FHR80,60.53
THL72,SHBB24,59.31
THL72,THLX72,59.13
SHP10,SHP7,84.59
SHP10,SGA1713B,67.02
SHP10,TPMB25EMGRN,55.41
SHP10,BDGPL412HG,53.44
SHP10,PBMP12A,51.78
SHP10,PH1038,51.42
SHP10,TA32A,51.38
SHP10,XFRR704,50.39
SHP10,REX25C,49.96
SHP10,PLRK27,49.29
PH3050BR,PHG1055BK,84.76
PH3050BR,PTGR100,67.07
PH3050BR,PTGR110,64.48
PH3050BR,PBS704,64.21
PH3050BR,VWB8B,61.91
PH3050BR,SGRHT6BR,61.74
PH3050BR,PTC250,61.7
PH3050BR,RTD48,61.57
PH3050BR,SRPCR112,59.81
PH3050BR,SPBS704AR,59.73
SF80A,FLF80A,88.02
SF80A,TF72,84.56
SF80A,SLL80A,70.35
SF80A,SN24C,65.68
SF80A,SL80A,65.48
SF80A,TLLF72,65.03
SF80A,S80A,64.03
SF80A,SN36,62.9
SF80A,HBBD32,62.84
SF80A,305ASX,62.26
EECT900,YA1175KIT,53.25
EECT900,EECT200,49.97
EECT900,BOERM712,49.63
EECT900,MTTL800,48.96
EECT900,EECT424HD,48.44
EECT900,PWC27,45.68
EECT900,CT9010K2,45.21
EECT900,EEDM525F,44.33
EECT900,EECT413,44.32
EECT900,EECS150,44.1
FL80,SL80A,84.49
FL80,TL72,82.52
FL80,S80A,68.86
FL80,SLL80A,65.84
FL80,T72,64.42
FL80,F80,62.79
FL80,SN24C,59.62
FL80,F12LB,58.53
FL80,305ASX,57.44
FL80,1206GS,56.41
FHBB12A,UPT65,64.98
FHBB12A,THR72,64.26
FHBB12A,FHBB18A,63.09
FHBB12A,SHBB24,61.72
FHBB12A,PHT5,60.25
FHBB12A,FHOF80A,60.07
FHBB12A,FHR80,59.62
FHBB12A,THL72,59
FHBB12A,SN15B,57.97
FHBB12A,SR80A,57.8
SGDX80BR,SGASA204CR,76.38
SGDX80BR,PL400B,76.24
SGDX80BR,HBBD24,69.18
SGDX80BR,OEXM713B,68.84
SGDX80BR,SGDXL80BR,68.28
SGDX80BR,206AFX,67.68
SGDX80BR,91ACP,67.48
SGDX80BR,SPBS704AR,67.26
SGDX80BR,HBBD16,65.92
SGDX80BR,PPC710BK,65.9
RTD48,208EPIT,74.43
RTD48,SRPCR107,74.06
RTD48,SRPCR112,69.08
RTD48,SHP2KT,65.53
RTD48,SGTT110B,64.95
RTD48,EXDL10A,64.92
RTD48,SGHBF500A,63.79
RTD48,PWCS7ACF,63.78
RTD48,1206GS,63.25
RTD48,RD8,62.46
SPBS36AO,PBS704,72.3
SPBS36AO,PBMP703A,70.52
SPBS36AO,HBFE48,70.24
SPBS36AO,HBBD32,67.59
SPBS36AO,SGRHT6BR,67.4
SPBS36AO,PPC715BK,66.87
SPBS36AO,PPC210BK,66.77
SPBS36AO,SGRHT2BR,66.67
SPBS36AO,PPC20LB,65.5
SPBS36AO,SPBS704AR,65.03
211SFY,211FY,95.65
211SFY,110STMDY,94.47
211SFY,110TMDY,91.24
211SFY,OEX8B,85.58
211SFY,OEX11B,84.84
211SFY,OEX10B,79.09
211SFY,61CF,77.22
211SFY,OXI707BK,74.61
211SFY,OEX711B,73.09
211SFY,DS809K,72.56
112STMMY,112TMMY,85.79
112STMMY,212FSMY,85.14
112STMMY,212SFSMY,85.06
112STMMY,117TMM,79.58
112STMMY,S9704KA,79.21
112STMMY,212EFTXY,79.05
112STMMY,S9706KRA,77.85
112STMMY,207EFAMY,77.23
112STMMY,SGT4BR,76.25
112STMMY,SGA173BR,75.08
MAGSTRIP,MAGMICRO,85.25
MAGSTRIP,MAGMINI,83.43
MAGSTRIP,MAGMAT,76.66
MAGSTRIP,MAGTRAY,74.48
MAGSTRIP,MAGDISH,72.33
MAGSTRIP,HCP48BCF,70.17
MAGSTRIP,PLRK21,68.89
MAGSTRIP,PLRK30,66.79
MAGSTRIP,ECARL032R,66.29
MAGSTRIP,KACKMCFIBER1,61.66
A91F,2050,63.72
A91F,JCW62R,63.12
A91F,EECT424HD,62.6
A91F,YA4275,61.31
A91F,BT4651,61.25
A91F,GLAS1F,60.79
A91F,311IMYA,59.15
A91F,OFWHD3KT,58.56
A91F,BT518,57.99
A91F,TPMB25,56.75
SRPCR107,RTD48,74.06
SRPCR107,PBS704,70.61
SRPCR107,HBFE103,69.43
SRPCR107,SPBS704AR,69.02
SRPCR107,SRPCR112,68.61
SRPCR107,PPC715BK,68
SRPCR107,SGHBF500A,67.74
SRPCR107,BDGPL300HG,67.16
SRPCR107,SGASA104BR,66.18
SRPCR107,LP404,64.51
IP80D,IPF800B,88.59
IP80D,304IMX,72.18
IP80D,315IMMYA,71.54
IP80D,1206GS,70.96
IP80D,GSAF1F,69.45
IP80D,305ASX,68.85
IP80D,HBFE48,68.29
IP80D,SX24,67.55
IP80D,307IPLMY,66.38
IP80D,212IMFMSYA,65.97
EEPV500,EEPV509,92.79
EEPV500,YA4000B,81.62
EEPV500,LDT40,69.5
EEPV500,RTEMPB7,68.1
EEPV500,CJ2001P,67.94
EEPV500,VAC201,66.74
EEPV500,SVTS264,64.99
EEPV500,SVTS272A,63.18
EEPV500,RTEMP8,62.66
EEPV500,YA824C,61.76
EECT424HD,PPC210BK,63.43
EECT424HD,A91F,62.6
EECT424HD,PBMP703A,61.21
EECT424HD,BT518,60.48
EECT424HD,SPBS36AO,60.38
EECT424HD,SR40K,59.73
EECT424HD,PBS704,59.67
EECT424HD,BLPPB704,59.49
EECT424HD,OEX38B,59.4
EECT424HD,SRPCR112,59.18
86EP,912AEP,87.45
86EP,908CF,81.92
86EP,84CF,80.24
86EP,EPC160,79.4
86EP,490CF,78.72
86EP,312CF,77.88
86EP,PL803A,75.09
86EP,411CF,74.74
86EP,TMR4,74.21
86EP,915CP,74.16
GLASS50R,GLOVE300BL,57.6
GLASS50R,GLOVE1100L,55.81
GLASS50R,KRSC430APBO1,50.64
GLASS50R,TPMB25,49.14
GLASS50R,CTLMAG-BOOT,47.84
GLASS50R,UKBU10,47.32
GLASS50R,GLASS90BYEAR,44.73
GLASS50R,PTM30,44.29
GLASS50R,AT4101,43.86
GLASS50R,ECSPB023HV,43.62
KRSC46HPBO,SOEXM710,59.15
KRSC46HPBO,SGDX60BR,56.41
KRSC46HPBO,BLPTHC87,55.37
KRSC46HPBO,207IPFM,54.37
KRSC46HPBO,212FSMY,53.96
KRSC46HPBO,HBBD24,53.15
KRSC46HPBO,212SFSMY,53.05
KRSC46HPBO,PPC710BK,52.43
KRSC46HPBO,PL400B,52.1
KRSC46HPBO,SGASA204CR,51.51
S6106KA,ST50A,75.35
S6106KA,DS809K,75.18
S6106KA,RULER600,73.74
S6106KA,TA3,72.24
S6106KA,AW1015DK,71.36
S6106KA,AVSNP01160,70.17
S6106KA,PPC3A,69.99
S6106KA,OXI707BK,69.97
S6106KA,F4LB,69.88
S6106KA,YA337A,69.25
PTGR100,PTGR110,92.21
PTGR100,PTC250,88.89
PTGR100,VWB8B,81.87
PTGR100,SAG03S20,73.81
PTGR100,PDR5000A,72.15
PTGR100,AT109,71.39
PTGR100,PBMP703A,67.19
PTGR100,PH3050BR,67.07
PTGR100,YA105013,66.29
PTGR100,SDG10S25F,66.12
TR107A,YA4050B,72.79
TR107A,JT13B,67.68
TR107A,GA295,67.23
TR107A,TDG1,62.82
TR107A,HBPT16,62.49
TR107A,BF620C,62.07
TR107A,TR108,60.97
TR107A,ACT73A,60.4
TR107A,GA294,58.63
TR107A,F4LB,58.18
PL400B,SGASA204CR,82.53
PL400B,SPBS704AR,81.5
PL400B,HBBD24,80.14
PL400B,SGDX60BR,80.08
PL400B,LP404,79.5
PL400B,SGASA104BR,76.27
PL400B,SGDX80BR,76.24
PL400B,206AFX,76.03
PL400B,SHDX80R,74.54
PL400B,PPC710BK,73.44
212FSMY,212SFSMY,97.01
212FSMY,112TMMY,85.68
212FSMY,FXK11,85.23
212FSMY,112STMMY,85.14
212FSMY,211FSY,82.92
212FSMY,206EAU,82.34
212FSMY,117TMM,81.97
212FSMY,211SFSY,80.57
212FSMY,PPC710BK,78.65
212FSMY,S9704KA,76.67
ATECH3FR300B,ATECH2FR125B,78.27
ATECH3FR300B,SRPCR112,56.91
ATECH3FR300B,SRPCR107,55.68
ATECH3FR300B,ATECH1FS300,55.09
ATECH3FR300B,RTD48,54.9
ATECH3FR300B,BLPTHC87,54.74
ATECH3FR300B,SPBS704AR,53.84
ATECH3FR300B,SN36,53.84
ATECH3FR300B,ATECH4RS600,52.06
ATECH3FR300B,PL330ACF,51.82
207IPFM,207IPSFM,78
207IPFM,307IPLMY,77.16
207IPFM,205IPF,75.34
207IPFM,214SIMFMYA,74.14
207IPFM,204IMXA,72.72
207IPFM,214IMFMYA,70.92
207IPFM,212IMFMSYA,70.16
207IPFM,IPF800B,68.53
207IPFM,304IMX,67.76
207IPFM,315IMMYA,67.47
OEX11B,OEX8B,97.88
OEX11B,OEX10B,95.1
OEX11B,211SFY,84.84
OEX11B,211FY,81.23
OEX11B,110STMDY,78.26
OEX11B,110TMDY,77.18
OEX11B,OEX711B,74.88
OEX11B,AW1015DHK,72.05
OEX11B,61CF,70.28
OEX11B,FXK6,68.16
211FY,211SFY,95.65
211FY,110TMDY,93.2
211FY,110STMDY,91.26
211FY,OEX8B,84.01
211FY,OEX11B,81.23
211FY,61CF,79.48
211FY,OEX10B,79.4
211FY,OXI707BK,77.83
211FY,OEX711B,77.77
211FY,214SFY,77.28
RXFS605B,RXFMS606B,88.68
RXFS605B,PPC715BK,74.74
RXFS605B,PPC710BK,73.24
RXFS605B,SGHBF500A,73.21
RXFS605B,212FMY,72.78
RXFS605B,S8,72.2
RXFS605B,RXFS2836B,71.9
RXFS605B,1206GS,70.82
RXFS605B,210FRHMA,70.51
RXFS605B,PPB1002A,70.33
214IMFMYA,214SIMFMYA,97.11
214IMFMYA,204IMXA,88.33
214IMFMYA,212IMFMSYA,87.91
214IMFMYA,212SIMFYA,84.66
214IMFMYA,IPF800B,80.24
214IMFMYA,304IMX,73.56
214IMFMYA,207IPFM,70.92
214IMFMYA,315IMMYA,70.51
214IMFMYA,311IMYA,66.25
214IMFMYA,312SIMM,65.89
CT825DB,CTLMAG-BOOT,59.66
CT825DB,112SIMTMM,58.56
CT825DB,CTLU861,57.89
CT825DB,CTLED861,56.69
CT825DB,CTR861AK2,56.39
CT825DB,CT861K2,55.92
CT825DB,CTS861K2,54.58
CT825DB,CTG861K1,51.62
CT825DB,OEXM713B,50.58
CT825DB,CTL8850,50.48
BOERM712,BOER708,86.43
BOERM712,BOERM704,75.73
BOERM712,315SIMMYA,64.04
BOERM712,315IMMYA,62.28
BOERM712,BTCP500,57.5
BOERM712,BLPTHC87,57.21
BOERM712,304IMX,57.12
BOERM712,117TMM,56
BOERM712,317AMMPC,55.95
BOERM712,1206GS,53.74
SGT4BR,CSA8CR,86.28
SGT4BR,97ACF,86
SGT4BR,PPC710BK,84.31
SGT4BR,SGA173BR,84.15
SGT4BR,FXK11,83.93
SGT4BR,LP10WR,83.01
SGT4BR,S9704KA,79.96
SGT4BR,PK23A,77.94
SGT4BR,212FSMY,76.35
SGT4BR,112STMMY,76.25
HBBD24,HBBD32,86.31
HBBD24,SPBS704AR,83.68
HBBD24,HBBD16,83.04
HBBD24,SGASA204CR,80.52
HBBD24,PL400B,80.14
HBBD24,HBFE103,80.07
HBBD24,HBFE32,78.97
HBBD24,HBFE48,75.26
HBBD24,PPC710BK,74.53
HBBD24,SGT4BR,74.21
315IMMYA,315SIMMYA,92.3
315IMMYA,304IMX,80.77
315IMMYA,311IMYA,80.28
315IMMYA,313SIMA,79.27
315IMMYA,325SIMM,75.38
315IMMYA,212EFTXY,73.17
315IMMYA,307IPLMY,72.76
315IMMYA,214SIMFMYA,71.69
315IMMYA,IP80D,71.54
315IMMYA,214IMFMYA,70.51
THLLF72,FHLLF80,80.44
THLLF72,SHLF80A,68.75
THLLF72,THLX72,66.3
THLLF72,TKF72,66.29
THLLF72,FHLL80,66.25
THLLF72,SHLX80A,66.16
THLLF72,THLL72,65.72
THLLF72,THRLX72,65.69
THLLF72,THLF72,63.56
THLLF72,SHN36,62.79
106TMUSA,110STMDY,77.03
106TMUSA,110TMDY,74.16
106TMUSA,OXI707BK,72.98
106TMUSA,VS807B,70.92
106TMUSA,211FY,70.68
106TMUSA,211SFY,68.77
106TMUSA,61CF,67.96
106TMUSA,TMS4E,65.61
106TMUSA,612AEP,65.56
106TMUSA,DS809K,64.06
SGASA204CR,PL400B,82.53
SGASA204CR,HBBD24,80.52
SGASA204CR,SPBS704AR,80.28
SGASA204CR,SGDX80BR,76.38
SGASA204CR,SHDX80R,75.56
SGASA204CR,LP404,74.88
SGASA204CR,PPC710BK,74.6
SGASA204CR,HBFE24,73.46
SGASA204CR,HBBD32,72.95
SGASA204CR,HBFE32,72.93
FAML6E,FRX181,97.8
FAML6E,FA12LE,97.69
FAML6E,TMUS141A,96.84
FAML6E,FLE140A,96
FAML6E,SA16E,95.39
FAML6E,TMUS181A,95.05
FAML6E,GF22,93.72
FAML6E,HD6529,93.58
FAML6E,FABLM5E,92.13
